epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73991,1.11723,1.62716,0.93776,0.80037,0.93483,0.96025,0.94027,0.3842,0.731,0.79739,7.14e-06,7.14e-06,7.14e-06
2,10.7624,0.99051,1.35051,0.92328,0.80758,0.89963,0.94412,0.90188,0.51163,0.7209,0.80263,1.53168e-05,1.53168e-05,1.53168e-05
3,13.7198,0.87055,1.12093,0.88993,0.65737,0.94118,0.92307,0.83646,0.65697,0.78348,0.80959,2.33288e-05,2.33288e-05,2.33288e-05
4,16.4033,0.89008,0.91803,0.89436,0.88491,0.67931,0.90575,0.81245,0.66263,0.80049,0.81147,3.11757e-05,3.11757e-05,3.11757e-05
5,19.1708,0.86396,0.80524,0.89319,0.79861,0.69952,0.8293,0.75559,0.61235,0.78714,0.80802,3.88578e-05,3.88578e-05,3.88578e-05
6,21.7478,0.82934,0.73199,0.87149,0.72743,0.71352,0.83157,0.76174,0.59546,0.78114,0.79989,4.63749e-05,4.63749e-05,4.63749e-05
7,24.5434,0.82087,0.69869,0.8999,0.66693,0.77478,0.82939,0.71936,0.63865,0.83318,0.79752,5.37271e-05,5.37271e-05,5.37271e-05
8,27.2854,0.8418,0.72767,0.8765,0.61399,0.78253,0.82487,0.71432,0.66948,0.83766,0.80071,6.09143e-05,6.09143e-05,6.09143e-05
9,29.9641,0.79844,0.71287,0.86296,0.84865,0.52785,0.82064,0.70095,0.7242,0.85171,0.80919,6.79366e-05,6.79366e-05,6.79366e-05
10,32.6044,0.78968,0.6907,0.87206,0.88373,0.5121,0.81637,0.69965,0.71829,0.85259,0.80987,7.4794e-05,7.4794e-05,7.4794e-05
11,35.2543,0.77654,0.67445,0.86733,0.88116,0.5101,0.71924,0.61596,0.73026,0.86856,0.81162,8.14864e-05,8.14864e-05,8.14864e-05
12,37.9304,0.77159,0.63969,0.85586,0.85849,0.53345,0.72685,0.62119,0.69211,0.86249,0.8009,8.80139e-05,8.80139e-05,8.80139e-05
13,40.5473,0.85114,0.68618,0.86478,0.86451,0.53203,0.73566,0.62945,0.70346,0.85061,0.80079,9.43765e-05,9.43765e-05,9.43765e-05
14,43.14,0.77129,0.63429,0.85233,0.8665,0.53106,0.73323,0.61241,0.68456,0.82833,0.79843,0.000100574,0.000100574,0.000100574
15,45.7644,0.76283,0.63338,0.85217,0.8728,0.54592,0.68869,0.57492,0.67459,0.80804,0.79987,0.000102507,0.000102507,0.000102507
16,48.4132,0.77985,0.62014,0.86217,0.8656,0.54696,0.67504,0.56387,0.70041,0.85232,0.80394,0.000101329,0.000101329,0.000101329
17,50.9704,0.77837,0.64601,0.85017,0.86382,0.54274,0.67647,0.55916,0.70574,0.851,0.80162,0.00010015,0.00010015,0.00010015
18,53.5397,0.74993,0.64085,0.86687,0.84564,0.54183,0.68088,0.55488,0.71275,0.86076,0.80256,9.89723e-05,9.89723e-05,9.89723e-05
19,56.1111,0.77681,0.61805,0.8488,0.88569,0.50989,0.67525,0.54692,0.73389,0.84423,0.80631,9.77942e-05,9.77942e-05,9.77942e-05
20,58.7707,0.7324,0.63708,0.85777,0.88014,0.5473,0.63615,0.51518,0.72976,0.84019,0.80513,9.66161e-05,9.66161e-05,9.66161e-05
21,61.3606,0.75489,0.64635,0.83879,0.79121,0.59968,0.64355,0.52224,0.72106,0.82543,0.80429,9.5438e-05,9.5438e-05,9.5438e-05
22,64.0456,0.78264,0.60198,0.85914,0.8056,0.59585,0.64507,0.50554,0.73583,0.81851,0.80627,9.42599e-05,9.42599e-05,9.42599e-05
23,66.7041,0.75473,0.61779,0.85896,0.82878,0.55757,0.64076,0.4925,0.75297,0.85177,0.81108,9.30818e-05,9.30818e-05,9.30818e-05
24,69.321,0.78199,0.60472,0.84942,0.8239,0.57543,0.63734,0.48835,0.75874,0.86538,0.81373,9.19037e-05,9.19037e-05,9.19037e-05
25,72.017,0.78869,0.61455,0.84709,0.84718,0.56742,0.63607,0.47962,0.75202,0.88355,0.81816,9.07256e-05,9.07256e-05,9.07256e-05
26,74.7491,0.74516,0.57727,0.84496,0.8883,0.56053,0.64112,0.49478,0.71668,0.87713,0.81577,8.95475e-05,8.95475e-05,8.95475e-05
27,77.3119,0.71433,0.57353,0.83357,0.85818,0.52834,0.62754,0.50028,0.70364,0.87102,0.81558,8.83694e-05,8.83694e-05,8.83694e-05
28,80.0017,0.69331,0.56661,0.84114,0.86115,0.52159,0.6188,0.47151,0.70434,0.89749,0.82076,8.71913e-05,8.71913e-05,8.71913e-05
29,82.5968,0.74892,0.60551,0.84052,0.70323,0.49481,0.61087,0.4534,0.70976,0.9195,0.82361,8.60132e-05,8.60132e-05,8.60132e-05
30,85.3088,0.73467,0.58271,0.84338,0.64165,0.52064,0.59989,0.47115,0.72695,0.95552,0.82819,8.48351e-05,8.48351e-05,8.48351e-05
31,87.9218,0.72183,0.56417,0.83263,0.68254,0.49478,0.59357,0.47593,0.71714,0.96749,0.82822,8.3657e-05,8.3657e-05,8.3657e-05
32,90.7208,0.6927,0.55485,0.83085,0.65659,0.52397,0.59847,0.46305,0.71562,0.98191,0.82865,8.24789e-05,8.24789e-05,8.24789e-05
33,93.2822,0.73887,0.55561,0.83486,0.66333,0.53324,0.59073,0.46146,0.7269,0.98386,0.82844,8.13008e-05,8.13008e-05,8.13008e-05
34,95.9108,0.71806,0.58222,0.83601,0.75207,0.47621,0.57734,0.45364,0.74637,0.98564,0.83879,8.01227e-05,8.01227e-05,8.01227e-05
35,98.6072,0.67982,0.53145,0.82678,0.75685,0.47471,0.5694,0.45262,0.75133,0.97214,0.83991,7.89446e-05,7.89446e-05,7.89446e-05
36,101.251,0.70644,0.56407,0.82799,0.75521,0.4723,0.56929,0.45007,0.73912,0.98497,0.83603,7.77665e-05,7.77665e-05,7.77665e-05
37,103.755,0.70486,0.5786,0.84609,0.83782,0.47982,0.56752,0.44834,0.74069,0.98365,0.83624,7.65884e-05,7.65884e-05,7.65884e-05
38,106.378,0.7244,0.57706,0.8374,0.73009,0.47285,0.57627,0.44999,0.75303,0.99081,0.83484,7.54103e-05,7.54103e-05,7.54103e-05
39,108.977,0.67583,0.57159,0.82325,0.73979,0.47241,0.57748,0.45348,0.76319,0.99816,0.83969,7.42322e-05,7.42322e-05,7.42322e-05
40,111.58,0.73256,0.58159,0.82982,0.63927,0.5268,0.57067,0.44975,0.77162,1.02329,0.84019,7.30541e-05,7.30541e-05,7.30541e-05
41,114.125,0.68503,0.54119,0.83211,0.65226,0.53234,0.57409,0.45242,0.77091,1.00338,0.8396,7.1876e-05,7.1876e-05,7.1876e-05
42,116.785,0.65619,0.50733,0.82516,0.71406,0.49795,0.58675,0.46104,0.76663,0.9648,0.84065,7.06979e-05,7.06979e-05,7.06979e-05
43,119.369,0.65334,0.51616,0.82245,0.75154,0.48084,0.58912,0.45879,0.77096,0.97469,0.83711,6.95198e-05,6.95198e-05,6.95198e-05
44,122.001,0.72987,0.55149,0.84131,0.77477,0.46728,0.57649,0.45204,0.78246,0.9707,0.83651,6.83417e-05,6.83417e-05,6.83417e-05
