epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.48398,1.17525,1.74071,0.96876,0.3521,0.2077,0.17438,0.0848,2.19045,1.96444,1.29154,0.09412,0.00012,0.00012
2,11.1017,1.23842,1.13464,0.95924,0.28225,0.16119,0.11963,0.08357,2.05074,3.9238,1.15379,0.0872599,0.000259902,0.000259902
3,13.4647,1.21763,1.03994,0.97282,0.54693,0.10564,0.13764,0.08011,1.94985,2.67915,1.23119,0.0803994,0.000399396,0.000399396
4,16.1332,1.19948,1.07823,0.97548,0.20459,0.25037,0.20976,0.10739,2.03835,2.06449,1.27997,0.0735382,0.000538166,0.000538166
5,18.5954,1.15235,0.99389,0.93961,0.42139,0.12376,0.16681,0.09081,1.7085,1.92414,1.12883,0.0666759,0.000675898,0.000675898
6,20.8008,1.07581,0.93201,0.92967,0.41142,0.16552,0.17444,0.09797,1.76541,2.14847,1.14083,0.0598123,0.00081228,0.00081228
7,23.1802,1.06961,0.90342,0.94323,0.57748,0.14965,0.17386,0.0962,1.84026,2.22738,1.21966,0.052947,0.000947003,0.000947003
8,25.3741,1.11508,0.95645,0.9432,0.4749,0.17831,0.15527,0.08714,1.70882,2.45013,1.12958,0.0460798,0.00107976,0.00107976
9,27.6103,1.06431,0.876,0.9186,0.46961,0.16609,0.18082,0.10694,1.55868,2.55051,1.09301,0.0392103,0.00121026,0.00121026
10,29.7339,1.08096,0.8917,0.9475,0.48786,0.18016,0.22019,0.11685,1.44246,2.0491,1.06514,0.0323382,0.0013382,0.0013382
11,32.0856,1.0565,0.92004,0.93349,0.29579,0.43239,0.32562,0.16946,1.57291,2.36798,1.12811,0.0254633,0.00146331,0.00146331
12,34.3053,1.05202,0.89353,0.9005,0.446,0.37102,0.35083,0.18675,1.43967,2.12718,1.08992,0.0185853,0.00158528,0.00158528
13,36.5852,1.02148,0.85094,0.92418,0.46222,0.31407,0.34529,0.20736,1.4784,1.90112,1.11307,0.0117039,0.00170387,0.00170387
14,38.816,1.05053,0.88093,0.93528,0.36533,0.34441,0.30294,0.15849,1.51707,1.83394,1.06316,0.00481879,0.00181879,0.00181879
15,41.0268,1.03827,0.85189,0.91611,0.41623,0.31534,0.34986,0.19292,1.56594,2.16207,1.07318,0.00185559,0.00185559,0.00185559
16,43.1692,1.06193,0.82308,0.92336,0.4604,0.3248,0.33732,0.21028,1.56245,2.03742,1.09827,0.00183484,0.00183484,0.00183484
17,45.349,1.07207,0.86717,0.92605,0.42723,0.30224,0.34449,0.20882,1.50165,1.88684,1.05185,0.00181284,0.00181284,0.00181284
